COUNTY,YEARS,Zones,AREA,YIELD,Rainfall,Temperature,Air Pressure,Wind Speed,Evapotranspiration,NDVI,EVI,GPP
Nandi,2012,Low Highlands,73552,2.960,340.800,21.470,11.360,6.270,35.696,0.735,0.472,0.468
Nandi,2013,Low Highlands,70519,2.410,279.900,21.530,9.330,5.930,37.668,0.730,0.459,0.495
Nandi,2014,Low Highlands,74045,2.260,63.000,23.370,2.100,6.230,34.117,0.727,0.468,0.478
Nandi,2015,Low Highlands,67593,2.800,487.500,21.030,16.250,5.930,35.152,0.747,0.489,0.513
Nandi,2016,Low Highlands,69933,2.920,320.200,22.100,10.670,6.400,34.214,0.729,0.463,0.517
Nandi,2017,Low Highlands,64578,3.050,202.300,23.300,6.740,6.600,35.239,0.745,0.467,0.519
Nandi,2018,Low Highlands,67451,3.410,455.100,20.830,15.170,6.070,34.114,0.746,0.487,0.525
Narok,2012,Upper Midlands,109940,1.680,683.500,18.430,22.780,7.830,30.028,0.628,0.400,0.454
Narok,2013,Upper Midlands,113550,2.770,378.400,19.100,12.610,7.170,28.558,0.567,0.349,0.419
Narok,2014,Upper Midlands,112079,2.390,169.400,19.130,5.650,10.430,26.147,0.580,0.356,0.443
Narok,2015,Upper Midlands,124999,1.610,340.800,18.800,11.360,9.400,25.626,0.622,0.389,0.460
Narok,2016,Upper Midlands,103500,2.350,587.400,19.030,19.580,9.230,24.827,0.606,0.379,0.408
Narok,2017,Upper Midlands,102258,2.260,207.200,19.400,6.910,12.030,27.374,0.567,0.335,0.453
Narok,2018,Upper Midlands,91602,2.270,424.000,18.870,14.130,7.330,25.517,0.652,0.420,0.488
Nyamira,2012,Upper Midlands,54820,1.780,531.300,19.830,17.710,6.130,41.590,0.720,0.459,0.513
Nyamira,2013,Upper Midlands,53270,1.170,302.500,20.230,10.080,5.800,43.619,0.720,0.447,0.522
Nyamira,2014,Upper Midlands,35549,1.160,252.400,21.270,8.410,6.330,40.260,0.721,0.451,0.528
Nyamira,2015,Upper Midlands,40989,1.500,319.200,20.370,10.640,6.070,38.465,0.722,0.448,0.513
Nyamira,2016,Upper Midlands,41689,1.330,439.100,20.900,14.640,6.700,39.442,0.723,0.453,0.521
Nyamira,2017,Upper Midlands,51800,1.430,219.200,22.100,7.130,7.630,41.382,0.730,0.439,0.539
Nyamira,2018,Upper Midlands,60101,1.510,420.200,20.330,14.010,4.730,38.138,0.745,0.471,0.565
Nyandarua,2012,Upper Highlands,19588,1.400,385.800,19.200,12.860,5.930,31.369,0.694,0.432,0.424
Nyandarua,2013,Upper Highlands,10490,1.500,212.800,19.500,7.090,5.430,32.882,0.670,0.412,0.437
Nyandarua,2014,Upper Highlands,10366,1.260,79.100,19.530,2.640,7.230,21.796,0.613,0.361,0.405
Nyandarua,2015,Upper Highlands,17537,1.480,181.900,19.500,6.060,7.200,25.976,0.661,0.399,0.458
